REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,WEALTH_QUINTILE,Wealth Quintile,SERIES_NAME,Series Name,SERIES_YEAR,Series Year,REGIONAL_GROUP,Regional group,TIME_PERIOD,OBS_VALUE,COUNTRY_NOTES,CONNECTION,DEATH_CATEGORY,CATEGORY,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,SERIES_CATEGORY,Series Category,SERIES_TYPE,Series Type,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,Age Group of Women,TIME_SINCE_FIRST_BIRTH,Time Since First Birth,DEFINITION,INTERVAL,SERIES_METHOD,Series Method,LOWER_BOUND,UPPER_BOUND,STATUS,YEAR_TO_ACHIEVE,MODEL,Model Used
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1990-06,45.5404545,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1990.5,,,,,,1,,,43.78242595,47.61735208,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1991-06,45.16831541,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1991.5,,,,,,1,,,43.41305341,47.18068386,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1992-06,44.83221434,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1992.5,,,,,,1,,,43.0843463,46.79810787,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1993-06,44.36855347,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1993.5,,,,,,1,,,42.65334823,46.3044174,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1994-06,44.03457661,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1994.5,,,,,,1,,,42.37853587,45.94898155,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1995-06,43.40819518,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1995.5,,,,,,1,,,41.77067266,45.27537719,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1996-06,42.87848429,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1996.5,,,,,,1,,,41.25463957,44.73089167,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1997-06,42.2721499,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1997.5,,,,,,1,,,40.70383233,44.07927017,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1998-06,41.58664479,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1998.5,,,,,,1,,,40.06573226,43.34455883,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,1999-06,40.74474785,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,1999.5,,,,,,1,,,39.23777771,42.46610911,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2000-06,39.92353158,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2000.5,,,,,,1,,,38.4143486,41.60571837,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2001-06,39.02491264,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2001.5,,,,,,1,,,37.5387105,40.66262619,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2002-06,38.11624307,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2002.5,,,,,,1,,,36.69236737,39.7284269,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2003-06,37.20024178,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2003.5,,,,,,1,,,35.82396927,38.80772825,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2004-06,36.32485205,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2004.5,,,,,,1,,,34.98338639,37.89901043,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2005-06,35.52910107,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2005.5,,,,,,1,,,34.19907359,37.07773228,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2006-06,34.79649741,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2006.5,,,,,,1,,,33.46586467,36.34380233,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2007-06,34.1357672,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2007.5,,,,,,1,,,32.81220314,35.69988899,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2008-06,33.48164093,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2008.5,,,,,,1,,,32.12225719,35.0828541,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2009-06,32.94676885,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2009.5,,,,,,1,,,31.5827837,34.60858325,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2010-06,32.36453089,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2010.5,,,,,,1,,,31.00786748,34.10792429,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2011-06,31.89668382,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2011.5,,,,,,1,,,30.49288295,33.74288674,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2012-06,31.3445738,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2012.5,,,,,,1,,,29.89333391,33.31960337,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2013-06,30.87811313,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2013.5,,,,,,1,,,29.34422825,33.05172219,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2014-06,30.52314356,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2014.5,,,,,,1,,,28.87025191,32.92216476,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2015-06,30.14013525,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2015.5,,,,,,1,,,28.39001644,32.75607372,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2016-06,29.75350595,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2016.5,,,,,,1,,,27.90639985,32.63393347,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2017-06,29.35358278,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2017.5,,,,,,1,,,27.39179444,32.52402738,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2018-06,28.84949658,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2018.5,,,,,,1,,,26.72420103,32.37226694,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2019-06,28.3669824,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2019.5,,,,,,1,,,26.09938933,32.23484255,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2020-06,27.87638336,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2020.5,,,,,,1,,,25.45657728,32.10158946,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2021-06,27.4076268,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2021.5,,,,,,1,,,24.81826566,32.06552516,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2022-06,26.94997961,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2022.5,,,,,,1,,,24.24332386,31.98091991,,,,
UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa,MRM0,Neonatal mortality rate,_T,Total,_T,Total,UN_IGME,UN IGME estimate,2023,2023,,,2023-06,26.41029533,,,,,A,Normal value,D_PER_1000_B,"Deaths per 1,000 live births",,,,,,2023.5,,,,,,1,,,23.5943808,31.89966366,,,,
